"ndcnum","prodnme","gennme"
"59385001401","bunavail","Buprenorphine/Naloxone"
"59385001430","bunavail","Buprenorphine/Naloxone"
"59385001601","bunavail","Buprenorphine/Naloxone"
"59385001630","bunavail","Buprenorphine/Naloxone"
"60429058630","buprenorphine-naloxone","Buprenorphine/Naloxone"
"60429058633","buprenorphine-naloxone","Buprenorphine/Naloxone"
"60429058730","buprenorphine-naloxone","Buprenorphine/Naloxone"
"60429058733","buprenorphine-naloxone","Buprenorphine/Naloxone"
"60505707505","buprenorphine","Buprenorphine"
"60505707605","buprenorphine","Buprenorphine"
"60505707705","buprenorphine","Buprenorphine"
"60505707805","buprenorphine","Buprenorphine"
"60505707905","buprenorphine","Buprenorphine"
"60687048111","buprenorphine","Buprenorphine Hydrochloride"
"60687048121","buprenorphine","Buprenorphine Hydrochloride"
"60687049211","buprenorphine","Buprenorphine Hydrochloride"
"60687049221","buprenorphine","Buprenorphine Hydrochloride"
"60687062611","buprenorphine-naloxone","Buprenorphine/Naloxone"
"60687062665","buprenorphine-naloxone","Buprenorphine/Naloxone"
"60687063711","buprenorphine-naloxone","Buprenorphine/Naloxone"
"60687063765","buprenorphine-naloxone","Buprenorphine/Naloxone"
"60846097003","buprenorphine-naloxone","Buprenorphine/Naloxone"
"60846097103","buprenorphine-naloxone","Buprenorphine/Naloxone"
"62135024230","naltrexone hcl","Naltrexone Hydrochloride"
"62135024290","naltrexone hcl","Naltrexone Hydrochloride"
"62175045232","buprenorphine-naloxone","Buprenorphine/Naloxone"
"62175045832","buprenorphine-naloxone","Buprenorphine/Naloxone"
"62756045964","buprenorphine","Buprenorphine Hydrochloride"
"62756045983","buprenorphine","Buprenorphine Hydrochloride"
"62756046064","buprenorphine","Buprenorphine Hydrochloride"
"62756046083","buprenorphine","Buprenorphine Hydrochloride"
"62756096964","buprenorphine-naloxone","Buprenorphine/Naloxone"
"62756096983","buprenorphine-naloxone","Buprenorphine/Naloxone"
"62756097064","buprenorphine-naloxone","Buprenorphine/Naloxone"
"62756097083","buprenorphine-naloxone","Buprenorphine/Naloxone"
"62991124301","naltrexone hcl","Naltrexone Hydrochloride"
"62991124302","naltrexone hcl","Naltrexone Hydrochloride"
"62991124303","naltrexone hcl","Naltrexone Hydrochloride"
